order_id,pincode,district,state,city_tier,payment_mode,order_value,product_category,is_first_order,device_type,order_hour,address_char_length,has_landmark_keyword,estimated_delivery_days,zone_complexity,returned
2446c3d0-1c22-4e10-98fc-903b40e2b5dc,522691,Tirupati,Andhra Pradesh,2,prepaid,967.7,apparel,False,mobile,4,51,True,6,low,0
3ff313bb-6358-44e4-8f52-dc8ea5b623f8,405475,Solapur,Maharashtra,3,COD,523.55,apparel,False,mobile,15,53,True,6,low,0
f97eb686-f7b9-41bb-8f75-b1e7f92fc2f0,368576,Rajkot,Gujarat,3,COD,444.55,electronics,False,mobile,9,30,True,7,low,0
6eae7c61-3d9c-4f61-975c-4bb5cd2dbd31,120096,Haryana District,Haryana,1,prepaid,518.51,apparel,True,desktop,13,39,False,1,low,0
832e93a3-438e-4fcc-a78b-02a05ac97e96,600180,Tiruchirappalli,Tamil Nadu,1,prepaid,1056.12,apparel,False,mobile,15,27,False,1,low,1
765d56fa-8b3a-4359-bb1b-6e7c14765d2c,679647,Kollam,Kerala,3,prepaid,780.86,other,False,mobile,9,49,True,5,low,0
9afd5d07-3470-4f2b-904c-d562361ad986,248707,Varanasi,Uttar Pradesh,2,COD,556.0,apparel,False,mobile,8,30,True,6,low,0
0b1993cf-b283-434c-9870-2d8a5b45a53f,563879,Bengaluru Urban,Karnataka,3,prepaid,936.49,grocery,True,mobile,6,31,True,6,low,0
3a026023-e50b-4a9d-a46c-a34641118581,791547,Arunachal Pradesh District,Arunachal Pradesh,3,COD,550.87,apparel,True,mobile,19,39,True,7,high,1
31bbe2a8-d61f-4038-be36-1929f2e871c7,823012,Bhagalpur,Bihar,2,COD,1138.61,electronics,False,mobile,14,48,True,5,low,0
6257dc82-622b-448a-b263-43d957535769,380110,Ahmedabad,Gujarat,1,COD,731.14,apparel,True,mobile,21,38,False,1,low,0
195b17e5-4b44-483e-9a01-3056313c4074,193622,Jammu and Kashmir District,Jammu and Kashmir,3,COD,629.55,apparel,False,desktop,20,49,True,7,high,1
9462b5df-68de-4d76-8a09-bc57ded79dc2,258811,Varanasi,Uttar Pradesh,3,COD,734.82,other,True,desktop,11,28,True,5,low,0
53a4a9cb-748a-4f2c-99a8-fa03df7a1b0b,143896,Ludhiana,Punjab,2,prepaid,200.0,apparel,False,mobile,11,49,True,6,low,0
ae338dac-10d8-453a-b815-4d0f5fb86958,208101,Allahabad,Uttar Pradesh,2,prepaid,796.2,other,True,mobile,14,23,True,4,low,0
7ac2fb00-0d6c-46dd-a3a6-a71dd794ea59,122829,Haryana District,Haryana,1,prepaid,503.45,apparel,False,desktop,10,35,False,1,low,0
2ff293ee-0013-4cb7-8049-58a15e0bc201,783166,Assam District,Assam,3,COD,1239.54,apparel,False,mobile,12,15,True,7,high,0
9d0e9129-5174-4589-a56e-11fc2a910b42,313052,Udaipur,Rajasthan,2,COD,546.95,apparel,False,mobile,16,14,True,5,low,0
bf642f02-00ac-4aa5-9ff3-5b63afb12c6b,416569,Pune,Maharashtra,2,COD,411.55,grocery,False,mobile,22,27,True,3,low,0
158ea109-93ac-4766-9380-0d26b9c0faaa,400976,Aurangabad,Maharashtra,1,prepaid,585.64,grocery,False,desktop,15,26,False,2,low,0
6bc82984-5840-4e58-bf16-05e49e487a37,400976,Aurangabad,Maharashtra,1,prepaid,797.13,apparel,False,mobile,18,28,False,3,low,0
9d3aad97-504e-45ff-9599-41a6b42350dc,835258,Gaya,Bihar,3,prepaid,783.86,apparel,False,mobile,17,25,True,5,low,0
e90f457b-0e0a-45d8-9329-43e305da5050,221026,Meerut,Uttar Pradesh,2,prepaid,385.84,grocery,True,mobile,11,15,True,5,low,0
af33d24d-b284-4ddf-9ca5-319deea9b0e9,258782,Uttarakhand District,Uttarakhand,3,prepaid,453.62,apparel,False,mobile,10,27,True,8,medium,0
999492d6-9911-463b-92ae-cf2416d28c78,207909,Kanpur,Uttar Pradesh,3,COD,704.57,electronics,True,mobile,9,39,True,7,low,1
fa7b36ca-5c73-40ac-b9a8-88c646780280,560577,Bengaluru Urban,Karnataka,1,prepaid,657.87,other,True,desktop,20,38,False,1,low,0
e52700e1-f6ab-4f40-9725-b2a6714d1709,737463,South 24 Parganas,West Bengal,3,COD,779.09,other,False,mobile,16,51,True,5,low,0
89dda9f8-a6ac-4444-9bb3-7825961a2e6e,146556,Ludhiana,Punjab,3,COD,1187.72,grocery,True,mobile,18,47,True,6,low,0
74f8a0af-dcee-47cd-9044-44ceaf86acbd,509805,Warangal,Telangana,3,prepaid,905.61,grocery,False,mobile,18,42,True,7,low,1
aa5b397e-4daa-4ee6-87d1-1e7f7bd28c9e,823926,Muzaffarpur,Bihar,2,COD,760.21,apparel,False,mobile,15,28,True,4,low,0
ea126441-b710-45e7-86b2-88732bfcbd55,600284,Madurai,Tamil Nadu,1,COD,552.87,apparel,True,mobile,19,27,False,1,low,1
d496f35f-3c0c-4d0e-b12d-20169ee07c33,122164,Haryana District,Haryana,1,COD,2311.38,electronics,True,desktop,23,36,False,2,low,0
9467d466-eb29-4457-a95c-9bbd00c509ae,245180,Agra,Uttar Pradesh,3,COD,470.98,apparel,False,desktop,20,25,True,7,low,0
139a893a-bf04-4c42-8e51-c007e8332847,500153,Visakhapatnam,Andhra Pradesh,1,COD,820.54,grocery,False,desktop,10,31,False,3,low,0
5d3490c0-4119-4b01-b3e2-85d81c16d98d,827634,Jharkhand District,Jharkhand,2,prepaid,327.47,apparel,False,mobile,0,48,True,3,medium,0
940863cc-15c3-4d41-9102-d32d84e47ebf,700555,North 24 Parganas,West Bengal,1,prepaid,621.65,apparel,False,mobile,14,36,False,1,low,0
60992608-0377-4a4d-b957-ba16dc2310f5,522536,Visakhapatnam,Andhra Pradesh,2,prepaid,561.75,apparel,True,mobile,14,28,True,6,low,0
7aeb2069-bd70-44b4-8497-4db340554934,560116,Mangalore,Karnataka,1,COD,632.61,electronics,False,desktop,16,35,False,2,low,0
1833dd24-93fc-43bd-bb33-ed41d104264d,421706,Nagpur,Maharashtra,2,COD,648.84,other,False,desktop,9,53,True,3,low,0
0fca2bf6-54d9-49fa-b09b-5fa84cdaffbe,411375,Nagpur,Maharashtra,1,COD,548.87,apparel,True,desktop,1,42,False,3,low,0
0691a16d-9aa9-4f41-93fb-25d5a823a158,500462,Karimnagar,Telangana,1,prepaid,1097.6,grocery,False,desktop,11,27,False,1,low,0
9ba17a16-03fa-4491-8e5c-35683f8214a6,408694,Solapur,Maharashtra,3,prepaid,286.36,grocery,False,mobile,22,49,True,8,low,0
ca0ccc17-936d-4040-b5ec-2545317dac62,378070,Surat,Gujarat,3,prepaid,1344.56,apparel,False,desktop,12,48,True,5,low,0
65010d16-ec65-4ea3-b053-596dfa88969e,500153,Visakhapatnam,Andhra Pradesh,1,COD,1821.18,electronics,False,mobile,11,26,False,2,low,0
495e23a9-80a7-4d9e-afe4-ac10dec13198,519464,Vijayawada,Andhra Pradesh,3,prepaid,695.73,apparel,False,mobile,13,48,True,8,low,0
a8fb769f-95fc-42c8-8ec1-d59ef6b82738,121575,Haryana District,Haryana,1,COD,951.46,apparel,False,mobile,18,40,False,1,low,1
b4a9c5a6-1f18-4423-99d0-0c1faa5f6b95,630833,Tiruchirappalli,Tamil Nadu,3,COD,339.35,other,False,desktop,23,25,True,7,low,0
37d9d172-213a-462e-8be6-9e6b9f4724ad,380259,Vadodara,Gujarat,1,prepaid,252.79,other,False,mobile,14,43,False,1,low,0
313ec0fc-81b4-4633-8509-a60c8e591070,500153,Visakhapatnam,Andhra Pradesh,1,COD,822.57,grocery,True,mobile,22,45,False,2,low,0
4ef8d4e5-0ac4-4276-bd6e-c877c9e65b3b,712376,Howrah,West Bengal,3,COD,724.81,other,False,mobile,15,27,True,8,low,0
28a8108d-b2a6-436e-9324-23a92866b8a6,824037,Darbhanga,Bihar,3,prepaid,2054.26,electronics,False,desktop,3,27,True,6,low,0
97c0d186-70fe-4981-889c-698e49987bee,628362,Salem,Tamil Nadu,3,COD,338.54,apparel,True,mobile,12,25,True,7,low,0
51249698-558e-4ead-bc02-43badd6680ac,309863,Ajmer,Rajasthan,3,prepaid,830.44,apparel,False,mobile,18,24,True,5,low,1
