pincode_prefix,city_tier,city
400,1,Mumbai
110,1,Delhi-NCR
120,1,Delhi-NCR
121,1,Delhi-NCR
122,1,Delhi-NCR
201,1,Delhi-NCR
226,1,Delhi-NCR
560,1,Bengaluru
600,1,Chennai
700,1,Kolkata
500,1,Hyderabad
411,1,Pune
380,1,Ahmedabad
302,2,Jaipur
452,2,Indore
641,2,Coimbatore
800,2,Patna
395,2,Surat
440,2,Nagpur
462,2,Bhopal
160,2,Chandigarh
682,2,Kochi
530,2,Visakhapatnam
390,2,Vadodara
282,2,Agra
221,2,Varanasi
695,2,Thiruvananthapuram
208,2,Kanpur
422,2,Nashik
360,2,Rajkot
781,2,Guwahati
570,2,Mysuru
342,2,Jodhpur
834,2,Ranchi
248,2,Dehradun
143,2,Amritsar
492,2,Raipur
520,2,Vijayawada
141,2,Ludhiana
625,2,Madurai
250,2,Meerut
482,2,Jabalpur
431,2,Aurangabad
180,2,Jammu
474,2,Gwalior
243,2,Bareilly
202,2,Aligarh
244,2,Moradabad
620,2,Tiruchirappalli
636,2,Salem
421,2,Bhiwandi
273,2,Gorakhpur
580,2,Hubli-Dharwad
575,2,Mangalore
691,2,Kollam
680,2,Thrissur
673,2,Kozhikode
313,2,Udaipur
495,2,Bilaspur
490,2,Bhilai
753,2,Cuttack
751,2,Bhubaneswar
506,2,Warangal
522,2,Guntur
524,2,Nellore
517,2,Tirupati
171,2,Shimla
605,2,Pondicherry
713,2,Durgapur
734,2,Siliguri
831,2,Jamshedpur
827,2,Bokaro
826,2,Dhanbad
413,2,Solapur
416,2,Kolhapur
456,2,Ujjain
470,2,Sagar
842,2,Muzaffarpur
823,2,Gaya
812,2,Bhagalpur
769,2,Rourkela
768,2,Sambalpur
211,2,Allahabad
281,2,Mathura
283,2,Firozabad
247,2,Saharanpur
144,2,Jalandhar
151,2,Bathinda
147,2,Patiala
