pincode,post_office_name,district,state,delivery_status
110026,PO South Delhi 26,South Delhi,Delhi,Delivery
110143,PO Central Delhi 143,Central Delhi,Delhi,Delivery
120605,PO Haryana District 605,Haryana District,Haryana,Non-Delivery
120096,PO Haryana District 96,Haryana District,Haryana,Delivery
121575,PO Haryana District 575,Haryana District,Haryana,Delivery
121719,PO Haryana District 719,Haryana District,Haryana,Delivery
122829,PO Haryana District 829,Haryana District,Haryana,Delivery
122164,PO Haryana District 164,Haryana District,Haryana,Delivery
122160,PO Haryana District 160,Haryana District,Haryana,Delivery
122345,PO Haryana District 345,Haryana District,Haryana,Delivery
123368,PO Haryana District 368,Haryana District,Haryana,Delivery
123827,PO Haryana District 827,Haryana District,Haryana,Delivery
124997,PO Haryana District 997,Haryana District,Haryana,Delivery
124301,PO Haryana District 301,Haryana District,Haryana,Delivery
125047,PO Haryana District 47,Haryana District,Haryana,Delivery
125082,PO Haryana District 82,Haryana District,Haryana,Delivery
126285,PO Haryana District 285,Haryana District,Haryana,Delivery
126374,PO Haryana District 374,Haryana District,Haryana,Delivery
126215,PO Haryana District 215,Haryana District,Haryana,Delivery
126700,PO Haryana District 700,Haryana District,Haryana,Delivery
126176,PO Haryana District 176,Haryana District,Haryana,Delivery
127277,PO Haryana District 277,Haryana District,Haryana,Delivery
127864,PO Haryana District 864,Haryana District,Haryana,Delivery
127033,PO Haryana District 33,Haryana District,Haryana,Delivery
127068,PO Haryana District 68,Haryana District,Haryana,Delivery
127581,PO Haryana District 581,Haryana District,Haryana,Delivery
128406,PO Haryana District 406,Haryana District,Haryana,Delivery
128143,PO Haryana District 143,Haryana District,Haryana,Delivery
128552,PO Haryana District 552,Haryana District,Haryana,Delivery
128439,PO Haryana District 439,Haryana District,Haryana,Delivery
128142,PO Haryana District 142,Haryana District,Haryana,Delivery
129882,PO Haryana District 882,Haryana District,Haryana,Delivery
129164,PO Haryana District 164,Haryana District,Haryana,Delivery
130391,PO Haryana District 391,Haryana District,Haryana,Delivery
130995,PO Haryana District 995,Haryana District,Haryana,Delivery
130118,PO Haryana District 118,Haryana District,Haryana,Delivery
130349,PO Haryana District 349,Haryana District,Haryana,Delivery
130162,PO Haryana District 162,Haryana District,Haryana,Non-Delivery
131996,PO Haryana District 996,Haryana District,Haryana,Delivery
131109,PO Haryana District 109,Haryana District,Haryana,Delivery
131520,PO Haryana District 520,Haryana District,Haryana,Delivery
131781,PO Haryana District 781,Haryana District,Haryana,Delivery
132614,PO Haryana District 614,Haryana District,Haryana,Delivery
132115,PO Haryana District 115,Haryana District,Haryana,Delivery
133246,PO Haryana District 246,Haryana District,Haryana,Delivery
133581,PO Haryana District 581,Haryana District,Haryana,Delivery
133498,PO Haryana District 498,Haryana District,Haryana,Delivery
133546,PO Haryana District 546,Haryana District,Haryana,Delivery
134970,PO Haryana District 970,Haryana District,Haryana,Delivery
134894,PO Haryana District 894,Haryana District,Haryana,Delivery
134952,PO Haryana District 952,Haryana District,Haryana,Delivery
134409,PO Haryana District 409,Haryana District,Haryana,Delivery
134530,PO Haryana District 530,Haryana District,Haryana,Delivery
135066,PO Haryana District 66,Haryana District,Haryana,Non-Delivery
135568,PO Haryana District 568,Haryana District,Haryana,Delivery
135008,PO Haryana District 8,Haryana District,Haryana,Delivery
136235,PO Haryana District 235,Haryana District,Haryana,Delivery
136881,PO Haryana District 881,Haryana District,Haryana,Delivery
140286,PO Patiala 286,Patiala,Punjab,Delivery
140136,PO Bathinda 136,Bathinda,Punjab,Delivery
140249,PO Patiala 249,Patiala,Punjab,Delivery
141097,PO Ludhiana 97,Ludhiana,Punjab,Delivery
141363,PO Patiala 363,Patiala,Punjab,Delivery
141885,PO Ludhiana 885,Ludhiana,Punjab,Delivery
142063,PO Patiala 63,Patiala,Punjab,Delivery
142820,PO Ludhiana 820,Ludhiana,Punjab,Delivery
143550,PO Patiala 550,Patiala,Punjab,Delivery
143188,PO Jalandhar 188,Jalandhar,Punjab,Delivery
143896,PO Ludhiana 896,Ludhiana,Punjab,Delivery
144052,PO Bathinda 52,Bathinda,Punjab,Delivery
144993,PO Ludhiana 993,Ludhiana,Punjab,Delivery
145171,PO Patiala 171,Patiala,Punjab,Delivery
145219,PO Patiala 219,Patiala,Punjab,Delivery
145169,PO Patiala 169,Patiala,Punjab,Non-Delivery
146272,PO Patiala 272,Patiala,Punjab,Delivery
146714,PO Bathinda 714,Bathinda,Punjab,Delivery
146499,PO Amritsar 499,Amritsar,Punjab,Delivery
146223,PO Ludhiana 223,Ludhiana,Punjab,Delivery
146556,PO Ludhiana 556,Ludhiana,Punjab,Delivery
147052,PO Bathinda 52,Bathinda,Punjab,Delivery
147942,PO Bathinda 942,Bathinda,Punjab,Delivery
148872,PO Amritsar 872,Amritsar,Punjab,Delivery
148070,PO Amritsar 70,Amritsar,Punjab,Delivery
149593,PO Bathinda 593,Bathinda,Punjab,Non-Delivery
149084,PO Patiala 84,Patiala,Punjab,Delivery
149579,PO Bathinda 579,Bathinda,Punjab,Delivery
150210,PO Jalandhar 210,Jalandhar,Punjab,Delivery
150406,PO Amritsar 406,Amritsar,Punjab,Delivery
150308,PO Patiala 308,Patiala,Punjab,Delivery
150770,PO Ludhiana 770,Ludhiana,Punjab,Non-Delivery
151076,PO Bathinda 76,Bathinda,Punjab,Delivery
151272,PO Amritsar 272,Amritsar,Punjab,Delivery
152901,PO Amritsar 901,Amritsar,Punjab,Delivery
152162,PO Patiala 162,Patiala,Punjab,Delivery
153627,PO Bathinda 627,Bathinda,Punjab,Non-Delivery
153837,PO Bathinda 837,Bathinda,Punjab,Delivery
153680,PO Ludhiana 680,Ludhiana,Punjab,Delivery
153138,PO Jalandhar 138,Jalandhar,Punjab,Delivery
154761,PO Bathinda 761,Bathinda,Punjab,Delivery
154289,PO Bathinda 289,Bathinda,Punjab,Delivery
155209,PO Jalandhar 209,Jalandhar,Punjab,Delivery
155258,PO Ludhiana 258,Ludhiana,Punjab,Delivery
155434,PO Jalandhar 434,Jalandhar,Punjab,Non-Delivery
155342,PO Amritsar 342,Amritsar,Punjab,Delivery
156166,PO Patiala 166,Patiala,Punjab,Delivery
156438,PO Bathinda 438,Bathinda,Punjab,Non-Delivery
156078,PO Amritsar 78,Amritsar,Punjab,Delivery
156855,PO Jalandhar 855,Jalandhar,Punjab,Delivery
157441,PO Amritsar 441,Amritsar,Punjab,Non-Delivery
157374,PO Ludhiana 374,Ludhiana,Punjab,Delivery
157216,PO Amritsar 216,Amritsar,Punjab,Delivery
158799,PO Bathinda 799,Bathinda,Punjab,Delivery
158417,PO Bathinda 417,Bathinda,Punjab,Delivery
158948,PO Amritsar 948,Amritsar,Punjab,Delivery
158820,PO Amritsar 820,Amritsar,Punjab,Delivery
159184,PO Jalandhar 184,Jalandhar,Punjab,Delivery
159422,PO Amritsar 422,Amritsar,Punjab,Delivery
160392,PO Ludhiana 392,Ludhiana,Punjab,Delivery
160228,PO Amritsar 228,Amritsar,Punjab,Delivery
171359,PO Himachal Pradesh District 359,Himachal Pradesh District,Himachal Pradesh,Delivery
171893,PO Himachal Pradesh District 893,Himachal Pradesh District,Himachal Pradesh,Delivery
171676,PO Himachal Pradesh District 676,Himachal Pradesh District,Himachal Pradesh,Delivery
171286,PO Himachal Pradesh District 286,Himachal Pradesh District,Himachal Pradesh,Delivery
172696,PO Himachal Pradesh District 696,Himachal Pradesh District,Himachal Pradesh,Delivery
172119,PO Himachal Pradesh District 119,Himachal Pradesh District,Himachal Pradesh,Delivery
172986,PO Himachal Pradesh District 986,Himachal Pradesh District,Himachal Pradesh,Non-Delivery
172611,PO Himachal Pradesh District 611,Himachal Pradesh District,Himachal Pradesh,Delivery
172806,PO Himachal Pradesh District 806,Himachal Pradesh District,Himachal Pradesh,Delivery
173395,PO Himachal Pradesh District 395,Himachal Pradesh District,Himachal Pradesh,Delivery
173726,PO Himachal Pradesh District 726,Himachal Pradesh District,Himachal Pradesh,Non-Delivery
174373,PO Himachal Pradesh District 373,Himachal Pradesh District,Himachal Pradesh,Delivery
174681,PO Himachal Pradesh District 681,Himachal Pradesh District,Himachal Pradesh,Delivery
174680,PO Himachal Pradesh District 680,Himachal Pradesh District,Himachal Pradesh,Delivery
175520,PO Himachal Pradesh District 520,Himachal Pradesh District,Himachal Pradesh,Delivery
175335,PO Himachal Pradesh District 335,Himachal Pradesh District,Himachal Pradesh,Delivery
175568,PO Himachal Pradesh District 568,Himachal Pradesh District,Himachal Pradesh,Delivery
175681,PO Himachal Pradesh District 681,Himachal Pradesh District,Himachal Pradesh,Delivery
176631,PO Himachal Pradesh District 631,Himachal Pradesh District,Himachal Pradesh,Delivery
176854,PO Himachal Pradesh District 854,Himachal Pradesh District,Himachal Pradesh,Delivery
176216,PO Himachal Pradesh District 216,Himachal Pradesh District,Himachal Pradesh,Delivery
177477,PO Himachal Pradesh District 477,Himachal Pradesh District,Himachal Pradesh,Delivery
177219,PO Himachal Pradesh District 219,Himachal Pradesh District,Himachal Pradesh,Delivery
177983,PO Himachal Pradesh District 983,Himachal Pradesh District,Himachal Pradesh,Delivery
177291,PO Himachal Pradesh District 291,Himachal Pradesh District,Himachal Pradesh,Delivery
180689,PO Jammu and Kashmir District 689,Jammu and Kashmir District,Jammu and Kashmir,Delivery
180204,PO Jammu and Kashmir District 204,Jammu and Kashmir District,Jammu and Kashmir,Non-Delivery
180251,PO Jammu and Kashmir District 251,Jammu and Kashmir District,Jammu and Kashmir,Delivery
181467,PO Jammu and Kashmir District 467,Jammu and Kashmir District,Jammu and Kashmir,Delivery
181590,PO Jammu and Kashmir District 590,Jammu and Kashmir District,Jammu and Kashmir,Delivery
182507,PO Jammu and Kashmir District 507,Jammu and Kashmir District,Jammu and Kashmir,Delivery
182672,PO Jammu and Kashmir District 672,Jammu and Kashmir District,Jammu and Kashmir,Delivery
182882,PO Jammu and Kashmir District 882,Jammu and Kashmir District,Jammu and Kashmir,Delivery
182225,PO Jammu and Kashmir District 225,Jammu and Kashmir District,Jammu and Kashmir,Delivery
182713,PO Jammu and Kashmir District 713,Jammu and Kashmir District,Jammu and Kashmir,Delivery
183940,PO Jammu and Kashmir District 940,Jammu and Kashmir District,Jammu and Kashmir,Delivery
183821,PO Jammu and Kashmir District 821,Jammu and Kashmir District,Jammu and Kashmir,Delivery
183573,PO Jammu and Kashmir District 573,Jammu and Kashmir District,Jammu and Kashmir,Delivery
184628,PO Jammu and Kashmir District 628,Jammu and Kashmir District,Jammu and Kashmir,Delivery
184562,PO Jammu and Kashmir District 562,Jammu and Kashmir District,Jammu and Kashmir,Delivery
184762,PO Jammu and Kashmir District 762,Jammu and Kashmir District,Jammu and Kashmir,Delivery
184770,PO Jammu and Kashmir District 770,Jammu and Kashmir District,Jammu and Kashmir,Delivery
184284,PO Jammu and Kashmir District 284,Jammu and Kashmir District,Jammu and Kashmir,Delivery
185451,PO Jammu and Kashmir District 451,Jammu and Kashmir District,Jammu and Kashmir,Delivery
185241,PO Jammu and Kashmir District 241,Jammu and Kashmir District,Jammu and Kashmir,Delivery
185915,PO Jammu and Kashmir District 915,Jammu and Kashmir District,Jammu and Kashmir,Delivery
185237,PO Jammu and Kashmir District 237,Jammu and Kashmir District,Jammu and Kashmir,Delivery
186066,PO Jammu and Kashmir District 66,Jammu and Kashmir District,Jammu and Kashmir,Delivery
186556,PO Jammu and Kashmir District 556,Jammu and Kashmir District,Jammu and Kashmir,Delivery
186212,PO Jammu and Kashmir District 212,Jammu and Kashmir District,Jammu and Kashmir,Delivery
187878,PO Jammu and Kashmir District 878,Jammu and Kashmir District,Jammu and Kashmir,Delivery
187966,PO Jammu and Kashmir District 966,Jammu and Kashmir District,Jammu and Kashmir,Delivery
188874,PO Jammu and Kashmir District 874,Jammu and Kashmir District,Jammu and Kashmir,Delivery
188753,PO Jammu and Kashmir District 753,Jammu and Kashmir District,Jammu and Kashmir,Delivery
188280,PO Jammu and Kashmir District 280,Jammu and Kashmir District,Jammu and Kashmir,Delivery
188399,PO Jammu and Kashmir District 399,Jammu and Kashmir District,Jammu and Kashmir,Delivery
188818,PO Jammu and Kashmir District 818,Jammu and Kashmir District,Jammu and Kashmir,Delivery
189942,PO Jammu and Kashmir District 942,Jammu and Kashmir District,Jammu and Kashmir,Delivery
189547,PO Jammu and Kashmir District 547,Jammu and Kashmir District,Jammu and Kashmir,Delivery
189607,PO Jammu and Kashmir District 607,Jammu and Kashmir District,Jammu and Kashmir,Delivery
189439,PO Jammu and Kashmir District 439,Jammu and Kashmir District,Jammu and Kashmir,Delivery
189187,PO Jammu and Kashmir District 187,Jammu and Kashmir District,Jammu and Kashmir,Delivery
190217,PO Jammu and Kashmir District 217,Jammu and Kashmir District,Jammu and Kashmir,Delivery
190780,PO Jammu and Kashmir District 780,Jammu and Kashmir District,Jammu and Kashmir,Delivery
190975,PO Jammu and Kashmir District 975,Jammu and Kashmir District,Jammu and Kashmir,Delivery
190084,PO Jammu and Kashmir District 84,Jammu and Kashmir District,Jammu and Kashmir,Non-Delivery
191975,PO Jammu and Kashmir District 975,Jammu and Kashmir District,Jammu and Kashmir,Delivery
191071,PO Jammu and Kashmir District 71,Jammu and Kashmir District,Jammu and Kashmir,Delivery
192205,PO Jammu and Kashmir District 205,Jammu and Kashmir District,Jammu and Kashmir,Delivery
192245,PO Jammu and Kashmir District 245,Jammu and Kashmir District,Jammu and Kashmir,Delivery
192118,PO Jammu and Kashmir District 118,Jammu and Kashmir District,Jammu and Kashmir,Delivery
193786,PO Jammu and Kashmir District 786,Jammu and Kashmir District,Jammu and Kashmir,Delivery
193622,PO Jammu and Kashmir District 622,Jammu and Kashmir District,Jammu and Kashmir,Delivery
193168,PO Jammu and Kashmir District 168,Jammu and Kashmir District,Jammu and Kashmir,Delivery
193027,PO Jammu and Kashmir District 27,Jammu and Kashmir District,Jammu and Kashmir,Delivery
194407,PO Jammu and Kashmir District 407,Jammu and Kashmir District,Jammu and Kashmir,Delivery
194708,PO Jammu and Kashmir District 708,Jammu and Kashmir District,Jammu and Kashmir,Delivery
194792,PO Jammu and Kashmir District 792,Jammu and Kashmir District,Jammu and Kashmir,Delivery
194615,PO Jammu and Kashmir District 615,Jammu and Kashmir District,Jammu and Kashmir,Delivery
194580,PO Jammu and Kashmir District 580,Jammu and Kashmir District,Jammu and Kashmir,Delivery
160678,PO Chandigarh District 678,Chandigarh District,Chandigarh,Delivery
160664,PO Chandigarh District 664,Chandigarh District,Chandigarh,Non-Delivery
160431,PO Chandigarh District 431,Chandigarh District,Chandigarh,Delivery
160984,PO Chandigarh District 984,Chandigarh District,Chandigarh,Delivery
160849,PO Chandigarh District 849,Chandigarh District,Chandigarh,Delivery
244181,PO Uttarakhand District 181,Uttarakhand District,Uttarakhand,Delivery
244942,PO Uttarakhand District 942,Uttarakhand District,Uttarakhand,Delivery
244846,PO Uttarakhand District 846,Uttarakhand District,Uttarakhand,Delivery
244252,PO Uttarakhand District 252,Uttarakhand District,Uttarakhand,Delivery
244462,PO Uttarakhand District 462,Uttarakhand District,Uttarakhand,Delivery
245345,PO Uttarakhand District 345,Uttarakhand District,Uttarakhand,Delivery
245333,PO Uttarakhand District 333,Uttarakhand District,Uttarakhand,Delivery
245364,PO Uttarakhand District 364,Uttarakhand District,Uttarakhand,Delivery
245902,PO Uttarakhand District 902,Uttarakhand District,Uttarakhand,Delivery
245530,PO Uttarakhand District 530,Uttarakhand District,Uttarakhand,Delivery
246501,PO Uttarakhand District 501,Uttarakhand District,Uttarakhand,Delivery
246662,PO Uttarakhand District 662,Uttarakhand District,Uttarakhand,Delivery
246018,PO Uttarakhand District 18,Uttarakhand District,Uttarakhand,Delivery
246415,PO Uttarakhand District 415,Uttarakhand District,Uttarakhand,Delivery
246596,PO Uttarakhand District 596,Uttarakhand District,Uttarakhand,Delivery
247436,PO Uttarakhand District 436,Uttarakhand District,Uttarakhand,Delivery
247465,PO Uttarakhand District 465,Uttarakhand District,Uttarakhand,Delivery
247237,PO Uttarakhand District 237,Uttarakhand District,Uttarakhand,Delivery
247324,PO Uttarakhand District 324,Uttarakhand District,Uttarakhand,Delivery
248197,PO Uttarakhand District 197,Uttarakhand District,Uttarakhand,Delivery
248284,PO Uttarakhand District 284,Uttarakhand District,Uttarakhand,Delivery
248853,PO Uttarakhand District 853,Uttarakhand District,Uttarakhand,Delivery
249184,PO Uttarakhand District 184,Uttarakhand District,Uttarakhand,Non-Delivery
249547,PO Uttarakhand District 547,Uttarakhand District,Uttarakhand,Delivery
249998,PO Uttarakhand District 998,Uttarakhand District,Uttarakhand,Delivery
249715,PO Uttarakhand District 715,Uttarakhand District,Uttarakhand,Delivery
250106,PO Uttarakhand District 106,Uttarakhand District,Uttarakhand,Delivery
250481,PO Uttarakhand District 481,Uttarakhand District,Uttarakhand,Delivery
250189,PO Uttarakhand District 189,Uttarakhand District,Uttarakhand,Delivery
250883,PO Uttarakhand District 883,Uttarakhand District,Uttarakhand,Delivery
250067,PO Uttarakhand District 67,Uttarakhand District,Uttarakhand,Delivery
251156,PO Uttarakhand District 156,Uttarakhand District,Uttarakhand,Delivery
251972,PO Uttarakhand District 972,Uttarakhand District,Uttarakhand,Delivery
252122,PO Uttarakhand District 122,Uttarakhand District,Uttarakhand,Delivery
252810,PO Uttarakhand District 810,Uttarakhand District,Uttarakhand,Delivery
252390,PO Uttarakhand District 390,Uttarakhand District,Uttarakhand,Delivery
253881,PO Uttarakhand District 881,Uttarakhand District,Uttarakhand,Delivery
253636,PO Uttarakhand District 636,Uttarakhand District,Uttarakhand,Delivery
253758,PO Uttarakhand District 758,Uttarakhand District,Uttarakhand,Delivery
253213,PO Uttarakhand District 213,Uttarakhand District,Uttarakhand,Delivery
254161,PO Uttarakhand District 161,Uttarakhand District,Uttarakhand,Delivery
254077,PO Uttarakhand District 77,Uttarakhand District,Uttarakhand,Non-Delivery
255706,PO Uttarakhand District 706,Uttarakhand District,Uttarakhand,Delivery
255238,PO Uttarakhand District 238,Uttarakhand District,Uttarakhand,Delivery
255720,PO Uttarakhand District 720,Uttarakhand District,Uttarakhand,Delivery
255240,PO Uttarakhand District 240,Uttarakhand District,Uttarakhand,Delivery
255641,PO Uttarakhand District 641,Uttarakhand District,Uttarakhand,Delivery
256664,PO Uttarakhand District 664,Uttarakhand District,Uttarakhand,Delivery
256847,PO Uttarakhand District 847,Uttarakhand District,Uttarakhand,Delivery
256170,PO Uttarakhand District 170,Uttarakhand District,Uttarakhand,Delivery
257450,PO Uttarakhand District 450,Uttarakhand District,Uttarakhand,Delivery
257312,PO Uttarakhand District 312,Uttarakhand District,Uttarakhand,Delivery
257513,PO Uttarakhand District 513,Uttarakhand District,Uttarakhand,Delivery
257613,PO Uttarakhand District 613,Uttarakhand District,Uttarakhand,Delivery
258619,PO Uttarakhand District 619,Uttarakhand District,Uttarakhand,Non-Delivery
258235,PO Uttarakhand District 235,Uttarakhand District,Uttarakhand,Delivery
258689,PO Uttarakhand District 689,Uttarakhand District,Uttarakhand,Delivery
258782,PO Uttarakhand District 782,Uttarakhand District,Uttarakhand,Delivery
259939,PO Uttarakhand District 939,Uttarakhand District,Uttarakhand,Delivery
259600,PO Uttarakhand District 600,Uttarakhand District,Uttarakhand,Delivery
259504,PO Uttarakhand District 504,Uttarakhand District,Uttarakhand,Delivery
259419,PO Uttarakhand District 419,Uttarakhand District,Uttarakhand,Delivery
259108,PO Uttarakhand District 108,Uttarakhand District,Uttarakhand,Delivery
260296,PO Uttarakhand District 296,Uttarakhand District,Uttarakhand,Delivery
260564,PO Uttarakhand District 564,Uttarakhand District,Uttarakhand,Delivery
260323,PO Uttarakhand District 323,Uttarakhand District,Uttarakhand,Delivery
260994,PO Uttarakhand District 994,Uttarakhand District,Uttarakhand,Delivery
260845,PO Uttarakhand District 845,Uttarakhand District,Uttarakhand,Delivery
261424,PO Uttarakhand District 424,Uttarakhand District,Uttarakhand,Delivery
261371,PO Uttarakhand District 371,Uttarakhand District,Uttarakhand,Delivery
261779,PO Uttarakhand District 779,Uttarakhand District,Uttarakhand,Delivery
261563,PO Uttarakhand District 563,Uttarakhand District,Uttarakhand,Delivery
261449,PO Uttarakhand District 449,Uttarakhand District,Uttarakhand,Delivery
262727,PO Uttarakhand District 727,Uttarakhand District,Uttarakhand,Delivery
262015,PO Uttarakhand District 15,Uttarakhand District,Uttarakhand,Delivery
